Year,Timestep,EcoregionName,EcoregionIndex,ppt,min_airtemp,max_airtemp,std_ppt,std_temp,winddirection,windspeed,ndeposition,FWI,
1996, 8, eco311, 1, 2.7, 14.72, 25.59, 0, 0, 0, 0, 0.09, 0, 
1996, 9, eco311, 1, 15.91, 9.4, 20.73, 0, 0, 0, 0, 0.09, 0, 
1996, 10, eco311, 1, 2.68, 1.38, 15.07, 0, 0, 0, 0, 0.09, 0, 
1996, 11, eco311, 1, 8.7, -4.86, 6.14, 0, 0, 0, 0, 0.09, 0, 
1996, 12, eco311, 1, 17.78, -3.27, 3.93, 0, 0, 0, 0, 0.09, 0, 
1997, 1, eco311, 1, 7.56, -13.07, -0.45, 0, 0, 0, 0, 0.09, 0, 
1997, 2, eco311, 1, 5.37, -10.52, 2.39, 0, 0, 0, 0, 0.09, 0, 
1997, 3, eco311, 1, 10.44, -6.71, 5.42, 0, 0, 0, 0, 0.09, 0, 
1997, 4, eco311, 1, 10.62, -1.14, 11.71, 0, 0, 0, 0, 0.09, 0, 
1997, 5, eco311, 1, 6.79, 4.37, 17.68, 0, 0, 0, 0, 0.09, 0, 
1997, 6, eco311, 1, 3.35, 10.77, 24.73, 0, 0, 0, 0, 0.09, 0, 
1997, 7, eco311, 1, 9.46, 12.77, 26.13, 0, 0, 0, 0, 0.09, 0, 
1997, 8, eco311, 1, 9.71, 12.13, 25.3, 0, 0, 0, 0, 0.09, 0, 
1997, 9, eco311, 1, 2.15, 7.69, 21.03, 0, 0, 0, 0, 0.09, 0, 
1997, 10, eco311, 1, 3.49, 1, 14.67, 0, 0, 0, 0, 0.09, 0, 
1997, 11, eco311, 1, 11.29, -4.37, 6.13, 0, 0, 0, 0, 0.09, 0, 
1997, 12, eco311, 1, 5.28, -8, 3.25, 0, 0, 0, 0, 0.09, 0, 
1998, 1, eco311, 1, 13.6, -8.58, 2, 0, 0, 0, 0, 0.09, 0, 
1998, 2, eco311, 1, 5.84, -8.92, 4.12, 0, 0, 0, 0, 0.09, 0, 
1998, 3, eco311, 1, 12.76, -5.56, 6.36, 0, 0, 0, 0, 0.09, 0, 
1998, 4, eco311, 1, 5.89, -0.57, 14.33, 0, 0, 0, 0, 0.09, 0, 
1998, 5, eco311, 1, 5.72, 7, 21.62, 0, 0, 0, 0, 0.09, 0, 
1998, 6, eco311, 1, 18.91, 10.52, 22.24, 0, 0, 0, 0, 0.09, 0, 
1998, 7, eco311, 1, 4.25, 13.03, 26.65, 0, 0, 0, 0, 0.09, 0, 
1998, 8, eco311, 1, 3.74, 12.77, 27.13, 0, 0, 0, 0, 0.09, 0, 
1998, 9, eco311, 1, 4.9, 8.03, 23.33, 0, 0, 0, 0, 0.09, 0, 
1998, 10, eco311, 1, 9.53, 0.59, 14.96, 0, 0, 0, 0, 0.09, 0, 
1998, 11, eco311, 1, 2.93, -4.04, 7.87, 0, 0, 0, 0, 0.09, 0, 
1998, 12, eco311, 1, 3.43, -7.12, 5.88, 0, 0, 0, 0, 0.09, 0, 
1999, 1, eco311, 1, 14.36, -12.3, 1.3, 0, 0, 0, 0, 0.09, 0, 
1999, 2, eco311, 1, 6.22, -10.54, 3.04, 0, 0, 0, 0, 0.09, 0, 
1999, 3, eco311, 1, 9.02, -7.42, 6.17, 0, 0, 0, 0, 0.09, 0, 
1999, 4, eco311, 1, 1.26, -1.48, 14, 0, 0, 0, 0, 0.09, 0, 
1999, 5, eco311, 1, 6.14, 5.17, 20.69, 0, 0, 0, 0, 0.09, 0, 
1999, 6, eco311, 1, 5.2, 13.13, 26.63, 0, 0, 0, 0, 0.09, 0, 
1999, 7, eco311, 1, 2.81, 15.6, 28.5, 0, 0, 0, 0, 0.09, 0, 
1999, 8, eco311, 1, 6.87, 14.11, 26.36, 0, 0, 0, 0, 0.09, 0, 
1999, 9, eco311, 1, 24.65, 11.3, 22.97, 0, 0, 0, 0, 0.09, 0, 
1999, 10, eco311, 1, 9.8, 1.14, 13.93, 0, 0, 0, 0, 0.09, 0, 
1999, 11, eco311, 1, 8.64, -0.03, 11.31, 0, 0, 0, 0, 0.09, 0, 
1999, 12, eco311, 1, 5.59, -8.61, 3.19, 0, 0, 0, 0, 0.09, 0, 
2000, 1, eco311, 1, 8.88, -13.26, -1.42, 0, 0, 0, 0, 0.09, 0, 
2000, 2, eco311, 1, 8.52, -8.97, 2.03, 0, 0, 0, 0, 0.09, 0, 
2000, 3, eco311, 1, 7.63, -3.3, 9.53, 0, 0, 0, 0, 0.09, 0, 
2000, 4, eco311, 1, 9.92, -0.17, 11.07, 0, 0, 0, 0, 0.09, 0, 
2000, 5, eco311, 1, 6.61, 6.03, 18.4, 0, 0, 0, 0, 0.09, 0, 
2000, 6, eco311, 1, 11.93, 11.28, 22.31, 0, 0, 0, 0, 0.09, 0, 
2000, 7, eco311, 1, 12.72, 12.77, 23.93, 0, 0, 0, 0, 0.09, 0, 
2000, 8, eco311, 1, 9.78, 12.94, 23.58, 0, 0, 0, 0, 0.09, 0, 
2000, 9, eco311, 1, 10.03, 8.63, 20.87, 0, 0, 0, 0, 0.09, 0, 
