Year, Month, ClimateRegionIndex, SpeciesName, CohortAge, CohortWoodB, CohortLeafB, MortalityAGEwood, MortalityAGEleaf, MortalityBIOwood, MortalityBIOleaf, availableWater,LAI,tlai,rlai,mineralNalloc, resorbedNalloc, limitLAI, limitH20, limitT, limitN, maxNPP, Bmax, Bsite, Bcohort, soilTemp, actualWoodNPP, actualLeafNPP, NPPwood, NPPleaf, resorbedNused, mineralNused, Ndemand,deltaWood, deltaLeaf, totalMortalityWood, totalMortalityLeaf, 
3,12,1,RedOak,99,2019.5,0.0,0.02,0.00,1.21,0.00,2.84,0.00,0.78,0.00,6.28,1.20,0.00,1.00,0.01,1.00,380,25000,20650,2019.5,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.23,0.00,1.23,0.00,
3,12,1,RedOak,64,1916.7,0.0,0.00,0.00,1.15,0.00,2.84,0.00,0.74,0.00,6.28,1.15,0.00,1.00,0.01,1.00,380,25000,20649,1916.7,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.15,0.00,1.15,0.00,
3,12,1,RedMaple,64,8195.8,0.0,0.01,0.00,4.92,0.00,2.84,0.00,3.55,0.00,6.28,1.94,0.00,1.00,0.01,1.00,440,25000,20648,8195.8,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.93,0.00,4.93,0.00,
3,12,1,RedMaple,56,6699.9,0.0,0.01,0.00,4.02,0.00,2.84,0.00,3.10,0.00,6.28,1.82,0.00,1.00,0.01,1.00,440,25000,20643,6699.9,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.03,0.00,4.03,0.00,
3,12,1,RedOak,54,1822.0,0.0,0.00,0.00,1.09,0.00,2.84,0.00,0.71,0.00,6.28,1.08,0.00,1.00,0.01,1.00,380,25000,20639,1822.0,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.09,0.00,1.09,0.00,
3,1,1,RedOak,99,2018.3,0.0,0.02,0.00,1.21,0.00,2.24,0.00,0.78,0.00,6.75,1.20,0.00,0.01,0.00,1.00,380,25000,20638,2018.3,-5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.23,0.00,1.23,0.00,
3,1,1,RedOak,64,1915.6,0.0,0.00,0.00,1.15,0.00,2.24,0.00,0.74,0.00,6.75,1.15,0.00,0.01,0.00,1.00,380,25000,20637,1915.6,-5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.15,0.00,1.15,0.00,
3,1,1,RedMaple,64,8190.9,0.0,0.01,0.00,4.91,0.00,2.24,0.00,3.55,0.00,6.75,1.94,0.00,0.01,0.00,1.00,440,25000,20636,8190.9,-5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.93,0.00,4.93,0.00,
3,1,1,RedMaple,56,6695.8,0.0,0.01,0.00,4.02,0.00,2.24,0.00,3.10,0.00,6.75,1.82,0.00,0.01,0.00,1.00,440,25000,20631,6695.8,-5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.02,0.00,4.02,0.00,
3,1,1,RedOak,54,1820.9,0.0,0.00,0.00,1.09,0.00,2.24,0.00,0.71,0.00,6.74,1.08,0.00,0.01,0.00,1.00,380,25000,20627,1820.9,-5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.09,0.00,1.09,0.00,
3,2,1,RedOak,99,2017.0,0.0,0.02,0.00,1.21,0.00,2.73,0.00,0.78,0.00,6.76,1.20,0.00,0.01,0.00,1.00,380,25000,20626,2017.0,-4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.23,0.00,1.23,0.00,
3,2,1,RedOak,64,1914.4,0.0,0.00,0.00,1.15,0.00,2.73,0.00,0.74,0.00,6.76,1.15,0.00,0.01,0.00,1.00,380,25000,20624,1914.4,-4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.15,0.00,1.15,0.00,
3,2,1,RedMaple,64,8186.0,0.0,0.01,0.00,4.91,0.00,2.73,0.00,3.55,0.00,6.76,1.94,0.00,0.01,0.00,1.00,440,25000,20623,8186.0,-4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.92,0.00,4.92,0.00,
3,2,1,RedMaple,56,6691.8,0.0,0.01,0.00,4.02,0.00,2.73,0.00,3.10,0.00,6.76,1.82,0.00,0.01,0.00,1.00,440,25000,20619,6691.8,-4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.02,0.00,4.02,0.00,
3,2,1,RedOak,54,1819.8,0.0,0.00,0.00,1.09,0.00,2.73,0.00,0.71,0.00,6.76,1.08,0.00,0.01,0.00,1.00,380,25000,20615,1819.8,-4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.09,0.00,1.09,0.00,
3,3,1,RedOak,99,2015.8,0.0,0.02,0.00,1.21,0.00,5.74,0.00,0.78,0.00,6.79,1.20,0.00,0.01,0.00,1.00,380,25000,20614,2015.8,-2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.23,0.00,1.23,0.00,
3,3,1,RedOak,64,1913.3,0.0,0.00,0.00,1.15,0.00,5.74,0.00,0.74,0.00,6.79,1.15,0.00,0.01,0.00,1.00,380,25000,20613,1913.3,-2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.15,0.00,1.15,0.00,
3,3,1,RedMaple,64,8181.1,0.0,0.01,0.00,4.91,0.00,5.74,0.00,3.55,0.00,6.79,1.94,0.00,0.01,0.00,1.00,440,25000,20612,8181.1,-2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.92,0.00,4.92,0.00,
3,3,1,RedMaple,56,6687.8,0.0,0.01,0.00,4.01,0.00,5.74,0.00,3.10,0.00,6.79,1.82,0.00,0.01,0.00,1.00,440,25000,20607,6687.8,-2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.02,0.00,4.02,0.00,
3,3,1,RedOak,54,1818.7,0.0,0.00,0.00,1.09,0.00,5.74,0.00,0.71,0.00,6.79,1.08,0.00,0.01,0.00,1.00,380,25000,20603,1818.7,-2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.09,0.00,1.09,0.00,
3,4,1,RedOak,99,2014.6,0.0,0.02,0.00,1.21,0.00,12.45,0.10,0.78,0.00,6.78,1.20,0.05,1.00,0.07,1.00,380,25000,20602,2014.6,6.5,0.28,0.41,0.13,0.19,0.01,0.00,0.01,-0.95,0.41,1.23,0.00,
3,4,1,RedOak,64,1912.1,0.0,0.00,0.00,1.15,0.00,12.45,0.10,0.74,0.00,6.77,1.15,0.05,1.00,0.07,1.00,380,25000,20602,1912.1,6.5,0.28,0.42,0.13,0.20,0.01,0.00,0.01,-0.87,0.42,1.15,0.00,
3,4,1,RedMaple,64,8176.1,0.0,0.01,0.00,4.91,0.00,12.45,0.10,3.54,0.00,6.78,1.94,0.05,1.00,0.07,1.00,440,25000,20601,8176.1,6.5,0.32,0.48,0.15,0.23,0.01,0.00,0.01,-4.60,0.48,4.92,0.00,
3,4,1,RedMaple,56,6683.8,0.0,0.01,0.00,4.01,0.00,12.45,0.10,3.10,0.00,6.78,1.82,0.05,1.00,0.07,1.00,440,25000,20597,6683.8,6.5,0.33,0.49,0.15,0.23,0.01,0.00,0.01,-3.69,0.49,4.02,0.00,
3,4,1,RedOak,54,1817.6,0.0,0.00,0.00,1.09,0.00,12.45,0.10,0.71,0.00,6.77,1.08,0.05,1.00,0.07,1.00,380,25000,20594,1817.6,6.5,0.28,0.42,0.13,0.20,0.01,0.00,0.01,-0.81,0.42,1.09,0.00,
3,5,1,RedOak,99,2013.6,0.4,0.02,0.00,1.21,0.00,7.93,0.12,0.78,0.16,7.15,1.19,0.06,1.00,0.38,1.00,380,25000,20594,2014.0,13.9,1.92,2.88,0.90,1.35,0.09,0.00,0.09,0.69,2.88,1.23,0.00,
3,5,1,RedOak,64,1911.2,0.4,0.00,0.00,1.15,0.00,7.93,0.12,0.74,0.16,7.15,1.14,0.06,1.00,0.38,1.00,380,25000,20597,1911.7,13.9,1.88,2.82,0.88,1.33,0.09,0.00,0.09,0.73,2.82,1.15,0.00,
3,5,1,RedMaple,64,8171.5,0.5,0.01,0.00,4.90,0.00,7.93,0.66,3.54,0.19,7.16,1.93,0.27,1.00,0.38,1.00,440,25000,20601,8172.0,13.9,10.40,15.60,4.89,7.33,0.43,0.00,0.43,5.48,15.60,4.92,0.00,
3,5,1,RedMaple,56,6680.1,0.5,0.01,0.00,4.01,0.00,7.93,0.58,3.10,0.19,7.16,1.81,0.24,1.00,0.38,1.00,440,25000,20622,6680.6,13.9,9.29,13.94,4.37,6.55,0.38,0.00,0.38,5.28,13.94,4.01,0.00,
3,5,1,RedOak,54,1816.8,0.4,0.00,0.00,1.09,0.00,7.93,0.12,0.71,0.16,7.15,1.07,0.05,1.00,0.38,1.00,380,25000,20641,1817.2,13.9,1.79,2.69,0.84,1.26,0.08,0.00,0.08,0.70,2.69,1.09,0.00,
3,6,1,RedOak,100,2014.3,3.3,0.02,0.00,1.21,0.00,6.54,0.59,0.78,0.75,8.00,1.10,0.24,0.72,0.72,1.00,380,25000,20644,2017.6,18.5,10.95,16.43,5.15,7.72,0.51,0.00,0.51,9.73,16.43,1.23,0.00,
3,6,1,RedOak,65,1912.0,3.2,0.00,0.00,1.15,0.00,6.54,0.55,0.74,0.75,8.00,1.05,0.23,0.72,0.72,1.00,380,25000,20670,1915.2,18.5,10.41,15.62,4.89,7.34,0.48,0.00,0.48,9.26,15.62,1.15,0.00,
3,6,1,RedMaple,65,8177.0,16.1,0.01,0.00,4.91,0.00,6.54,3.54,3.54,1.00,8.00,1.50,0.81,0.58,0.72,1.00,440,25000,20695,8193.1,18.5,33.90,50.85,15.93,23.90,1.40,0.00,1.40,28.98,50.85,4.92,0.00,
3,6,1,RedMaple,57,6685.4,14.4,0.01,0.00,4.01,0.00,6.54,3.09,3.10,1.00,8.00,1.42,0.77,0.58,0.72,1.00,440,25000,20774,6699.8,18.5,31.66,47.50,14.88,22.32,1.31,0.00,1.31,27.65,47.50,4.02,0.00,
3,6,1,RedOak,55,1817.5,3.1,0.00,0.00,1.09,0.00,6.54,0.52,0.71,0.73,7.99,0.99,0.22,0.72,0.72,1.00,380,25000,20849,1820.6,18.5,9.56,14.34,4.49,6.74,0.44,0.00,0.44,8.47,14.34,1.09,0.00,
4,7,1,RedOak,100,2024.1,19.7,0.02,0.00,1.21,0.00,10.77,0.78,0.78,1.00,8.91,0.60,0.31,1.00,0.78,1.00,380,25000,20872,2043.8,19.4,20.36,30.54,9.57,14.35,0.00,0.94,0.94,19.12,30.54,1.24,0.00,
4,7,1,RedOak,65,1921.2,18.9,0.00,0.00,1.15,0.00,10.77,0.75,0.75,1.00,8.91,0.57,0.30,1.00,0.78,1.00,380,25000,20922,1940.1,19.4,19.42,29.13,9.13,13.69,0.00,0.90,0.90,18.26,29.13,1.16,0.00,
4,7,1,RedMaple,65,8206.0,66.9,0.01,0.00,4.92,0.00,10.77,3.55,3.55,1.00,8.91,0.10,0.81,0.91,0.78,1.00,440,25000,20969,8272.9,19.4,55.48,83.22,26.08,39.11,0.00,2.29,2.29,50.54,83.22,4.94,0.00,
4,7,1,RedMaple,57,6713.0,61.9,0.01,0.00,4.03,0.00,10.77,3.11,3.11,1.00,8.91,0.12,0.77,0.91,0.78,1.00,440,25000,21103,6774.9,19.4,51.33,77.00,24.13,36.19,0.00,2.12,2.12,47.30,77.00,4.03,0.00,
4,7,1,RedOak,55,1826.0,17.4,0.00,0.00,1.10,0.00,10.77,0.71,0.71,1.00,8.90,0.55,0.28,1.00,0.78,1.00,380,25000,21228,1843.4,19.4,17.73,26.60,8.33,12.50,0.00,0.82,0.82,16.64,26.60,1.10,0.00,
4,8,1,RedOak,100,2043.2,50.3,0.02,0.00,1.23,0.00,1.63,0.79,0.79,1.00,8.48,0.60,0.31,0.17,0.84,1.00,380,25000,21271,2093.4,20.4,3.44,5.15,1.61,2.42,0.00,0.16,0.16,2.19,5.15,1.25,0.00,
4,8,1,RedOak,65,1939.5,48.0,0.00,0.00,1.16,0.00,1.63,0.75,0.75,1.00,8.48,0.57,0.30,0.17,0.84,1.00,380,25000,21278,1987.5,20.4,3.31,4.96,1.55,2.33,0.00,0.15,0.15,2.14,4.96,1.17,0.00,
4,8,1,RedMaple,65,8256.5,150.1,0.01,0.00,4.95,0.00,1.63,3.57,3.57,1.00,8.48,0.10,0.81,0.08,0.84,1.00,440,25000,21285,8406.7,20.4,5.30,7.94,2.49,3.73,0.00,0.22,0.22,0.33,7.94,4.97,0.00,
4,8,1,RedMaple,57,6760.3,138.9,0.01,0.00,4.06,0.00,1.63,3.12,3.12,1.00,8.48,0.12,0.77,0.08,0.84,1.00,440,25000,21293,6899.2,20.4,5.01,7.51,2.35,3.53,0.00,0.21,0.21,0.95,7.51,4.06,0.00,
4,8,1,RedOak,55,1842.6,44.0,0.00,0.00,1.11,0.00,1.63,0.72,0.72,1.00,8.48,0.55,0.29,0.17,0.84,1.00,380,25000,21301,1886.7,20.4,3.16,4.75,1.49,2.23,0.00,0.15,0.15,2.06,4.75,1.11,0.00,
4,9,1,RedOak,100,2045.4,55.4,0.02,0.00,1.23,55.41,8.92,0.79,0.79,1.00,8.44,0.60,0.31,1.00,0.48,1.00,380,25000,21308,2100.8,15.3,11.74,17.60,5.52,8.27,0.00,0.54,0.54,10.49,-37.81,1.25,55.41,
4,9,1,RedOak,65,1941.6,52.9,0.00,0.00,1.16,52.94,8.92,0.75,0.75,1.00,8.44,0.57,0.30,1.00,0.48,1.00,380,25000,21281,1994.6,15.3,11.34,17.02,5.33,8.00,0.00,0.52,0.52,10.18,-35.93,1.17,52.94,
4,9,1,RedMaple,65,8256.9,158.1,0.01,0.00,4.95,158.09,8.92,3.57,3.57,1.00,8.44,0.10,0.81,1.00,0.48,1.00,440,25000,21255,8415.0,15.3,36.01,54.01,16.92,25.39,0.00,1.49,1.49,31.04,-104.08,4.97,158.09,
4,9,1,RedMaple,57,6761.3,146.4,0.01,0.00,4.06,146.44,8.92,3.12,3.12,1.00,8.44,0.12,0.77,1.00,0.48,1.00,440,25000,21182,6907.7,15.3,34.53,51.79,16.23,24.34,0.00,1.43,1.43,30.47,-94.64,4.06,146.44,
4,9,1,RedOak,55,1844.7,48.8,0.00,0.00,1.11,48.80,8.92,0.72,0.72,1.00,8.43,0.55,0.29,1.00,0.48,1.00,380,25000,21118,1893.5,15.3,11.22,16.84,5.28,7.91,0.00,0.52,0.52,10.12,-31.96,1.11,48.80,
4,10,1,RedOak,100,2055.9,17.6,0.02,0.00,1.23,17.60,2.61,0.79,0.79,1.00,8.23,1.19,0.31,0.88,0.12,1.00,380,25000,21096,2073.5,8.5,2.68,4.02,1.26,1.89,0.00,0.12,0.12,1.43,-13.58,1.25,17.60,
4,10,1,RedOak,65,1951.8,17.0,0.00,0.00,1.17,17.02,2.61,0.76,0.76,1.00,8.23,1.14,0.30,0.88,0.12,1.00,380,25000,21084,1968.8,8.5,2.59,3.88,1.22,1.83,0.00,0.12,0.12,1.42,-13.13,1.17,17.02,
4,10,1,RedMaple,65,8287.9,54.0,0.01,0.00,4.97,54.01,2.61,3.58,3.58,1.00,8.24,1.38,0.81,0.72,0.12,1.00,440,25000,21073,8341.9,8.5,6.65,9.98,3.13,4.69,0.00,0.27,0.27,1.67,-44.04,4.99,54.01,
4,10,1,RedMaple,57,6791.7,51.8,0.01,0.00,4.08,51.79,2.61,3.13,3.13,1.00,8.24,1.31,0.77,0.72,0.12,1.00,440,25000,21031,6843.5,8.5,6.35,9.52,2.98,4.47,0.00,0.26,0.26,2.26,-42.28,4.08,51.79,
4,10,1,RedOak,55,1854.8,16.8,0.00,0.00,1.11,16.84,2.61,0.72,0.72,1.00,8.23,1.07,0.29,0.88,0.12,1.00,380,25000,20991,1871.6,8.5,2.53,3.79,1.19,1.78,0.00,0.12,0.12,1.42,-13.04,1.11,16.84,
4,11,1,RedOak,100,2057.3,4.0,0.02,0.00,1.23,4.02,3.77,0.00,0.79,0.82,8.62,1.38,0.00,1.00,0.01,1.00,380,25000,20979,2061.3,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.26,-4.02,1.26,4.02,
4,11,1,RedOak,65,1953.2,3.9,0.00,0.00,1.17,3.88,3.77,0.00,0.76,0.81,8.62,1.32,0.00,1.00,0.01,1.00,380,25000,20974,1957.1,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.17,-3.88,1.17,3.88,
4,11,1,RedMaple,65,8289.6,10.0,0.01,0.00,4.97,9.98,3.77,0.00,3.58,0.99,8.62,1.82,0.00,1.00,0.01,1.00,440,25000,20969,8299.6,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.99,-9.98,4.99,9.98,
