species,wsg,b0,b1,fraction_stem,fraction_branch,fraction_leaf,fraction_root,fraction_soil
PIPA,0.54,-3.0506,2.6465,0.7,0.23,0.07,0.24,0.68
QUIN,0.59,-2.0705,2.441,0.7,0.23,0.07,0.24,0.68
QUNI,0.59,-2.0705,2.441,0.7,0.23,0.07,0.24,0.68
QUVI,0.59,-2.0705,2.441,0.7,0.23,0.07,0.24,0.68
