"id","species","type","age","dbh","height","crown_r","crown_l","crown_a","ba"
3288,"PIPA","adult",NA,39,NA,NA,NA,NA,1194.590607
3289,"PIPA","adult",NA,45.55,NA,NA,NA,NA,1629.546073
3290,"PIPA","adult",NA,33.25,NA,NA,NA,NA,868.306757
3291,"PIPA","adult",NA,16.35,NA,NA,NA,NA,209.9546005
3292,"PIPA","adult",NA,12.45,NA,NA,NA,NA,121.7386788
3293,"PIPA","adult",NA,12.95,NA,NA,NA,NA,131.7132355
3294,"PIPA","adult",NA,41.95,NA,NA,NA,NA,1382.145651
3296,"PIPA","adult",NA,37.25,NA,NA,NA,NA,1089.789039
3297,"PIPA","adult",NA,30.2,NA,NA,NA,NA,716.3145409
3298,"PIPA","adult",NA,40.7,NA,NA,NA,NA,1301.004204
3299,"PIPA","adult",NA,20.1,NA,NA,NA,NA,317.308712
3300,"PIPA","adult",NA,17.55,NA,NA,NA,NA,241.9045978
3301,"PIPA","adult",NA,24.05,NA,NA,NA,NA,454.2762612
3302,"PIPA","adult",NA,18.95,NA,NA,NA,NA,282.038444
3303,"PIPA","adult",NA,28.5,NA,NA,NA,NA,637.9396582
3304,"PIPA","adult",NA,22.55,NA,NA,NA,NA,399.3769296
3305,"PIPA","adult",NA,43.55,NA,NA,NA,NA,1489.58812
3306,"PIPA","adult",NA,42.2,NA,NA,NA,NA,1398.668465
3307,"PIPA","adult",NA,43.6,NA,NA,NA,NA,1493.010493
3308,"PIPA","adult",NA,41.85,NA,NA,NA,NA,1375.564015
3309,"PIPA","adult",NA,50.65,NA,NA,NA,NA,2014.87812
3310,"PIPA","adult",NA,24.05,NA,NA,NA,NA,454.2762612
3311,"PIPA","adult",NA,49,NA,NA,NA,NA,1885.74099
3312,"PIPA","adult",NA,34.45,NA,NA,NA,NA,932.1125038
3313,"PIPA","adult",NA,34.15,NA,NA,NA,NA,915.9490096
3314,"PIPA","adult",NA,17.2,NA,NA,NA,NA,232.3521927
3318,"PIPA","adult",NA,23.35,NA,NA,NA,NA,428.2167501
3338,"PIPA","adult",NA,52.75,NA,NA,NA,NA,2185.419477
3339,"PIPA","adult",NA,51.85,NA,NA,NA,NA,2111.482094
3340,"PIPA","adult",NA,15.2,NA,NA,NA,NA,181.4583917
3341,"PIPA","adult",NA,12.45,NA,NA,NA,NA,121.7386788
3353,"PIPA","adult",NA,54.65,NA,NA,NA,NA,2345.687826
3354,"PIPA","adult",NA,44.15,NA,NA,NA,NA,1530.915772
3355,"PIPA","adult",NA,47.25,NA,NA,NA,NA,1753.450487
3356,"PIPA","adult",NA,33.45,NA,NA,NA,NA,878.7839685
3357,"PIPA","adult",NA,41.95,NA,NA,NA,NA,1382.145651
3358,"PIPA","adult",NA,45.55,NA,NA,NA,NA,1629.546073
3359,"PIPA","adult",NA,59.15,NA,NA,NA,NA,2747.890226
3441,"QUVI","adult",NA,37.05,NA,NA,NA,NA,1078.118022
3442,"PIPA","adult",NA,13,NA,NA,NA,NA,132.7322896
3445,"PIPA","adult",NA,14.35,NA,NA,NA,NA,161.7311533
3456,"QUVI","adult",NA,54.25,NA,NA,NA,NA,2311.475882
3457,"QUVI","adult",NA,33.75,NA,NA,NA,NA,894.6175955
3458,"QUVI","adult",NA,56.5,NA,NA,NA,NA,2507.187287
3459,"QUVI","adult",NA,37.95,NA,NA,NA,NA,1131.132398
3460,"QUVI","adult",NA,29.95,NA,NA,NA,NA,704.5041161
3463,"PIPA","adult",NA,42.95,NA,NA,NA,NA,1448.825956
3464,"PIPA","adult",NA,39.3,NA,NA,NA,NA,1213.039609
3465,"PIPA","adult",NA,44.25,NA,NA,NA,NA,1537.858691
3466,"PIPA","adult",NA,23.15,NA,NA,NA,NA,420.9125472
