"id","species","type","age","dbh","height","crown_r","crown_l","crown_a","ba"
91,"PRSE","adult",NA,13.3,NA,NA,NA,NA,NA
92,"PRSE","adult",NA,24.7882352941176,NA,NA,NA,NA,NA
93,"TSCA","adult",NA,19.9705882352941,NA,NA,NA,NA,NA
94,"TSCA","adult",NA,23.8647058823529,NA,NA,NA,NA,NA
95,"QURU","adult",NA,12.4,NA,NA,NA,NA,NA
96,"ACRU","adult",NA,19.2882352941176,NA,NA,NA,NA,NA
97,"QURU","adult",NA,34.3647058823529,NA,NA,NA,NA,NA
98,"QURU","adult",NA,25.0764705882353,NA,NA,NA,NA,NA
99,"ACRU","adult",NA,15.9117647058824,NA,NA,NA,NA,NA
100,"QURU","adult",NA,21.6,NA,NA,NA,NA,NA
101,"ACRU","adult",NA,10.0058823529412,NA,NA,NA,NA,NA
102,"PIST","adult",NA,38.6529411764706,NA,NA,NA,NA,NA
103,"ACRU","adult",NA,15,NA,NA,NA,NA,NA
104,"QURU","adult",NA,23.7,NA,NA,NA,NA,NA
105,"QURU","adult",NA,17.1,NA,NA,NA,NA,NA
106,"ACRU","adult",NA,16.8,NA,NA,NA,NA,NA
107,"ACRU","adult",NA,11,NA,NA,NA,NA,NA
108,"PRSE","adult",NA,22.3,NA,NA,NA,NA,NA
109,"QURU","adult",NA,30.9941176470588,NA,NA,NA,NA,NA
110,"ACRU","adult",NA,15.1705882352941,NA,NA,NA,NA,NA
111,"PIRE","adult",NA,39.7352941176471,NA,NA,NA,NA,NA
112,"QURU","adult",NA,48.0764705882353,NA,NA,NA,NA,NA
113,"ACRU","adult",NA,11.9705882352941,NA,NA,NA,NA,NA
114,"ACRU","adult",NA,26.1,NA,NA,NA,NA,NA
115,"QURU","adult",NA,47.7941176470588,NA,NA,NA,NA,NA
116,"PRSE","adult",NA,18.3,NA,NA,NA,NA,NA
117,"ACRU","adult",NA,33.6823529411765,NA,NA,NA,NA,NA
118,"PIRE","adult",NA,18.1,NA,NA,NA,NA,NA
119,"ACRU","adult",NA,19,NA,NA,NA,NA,NA
120,"PIRE","adult",NA,42.9705882352941,NA,NA,NA,NA,NA
121,"ACRU","adult",NA,14.8,NA,NA,NA,NA,NA
