"year","nee","r_soil"
2009,23.0091091642732,23.0091091642732
2010,-1295.96894062387,15.6834666800281
2011,-1316.5819845405,13.4682913069743
2012,-1330.08304372026,18.518938412847
2013,-1342.87504350405,24.4301931922575
