"id","species","type","age","dbh","n_trees","height","crown_l","crown_r","crown_a","ba","crown_a_cumsum","biomass_ag","biomass_stem","biomass_branch","biomass_leaf","biomass_root_coarse","biomass_root_fine","biomass_soil","biomass_bg","biomass_total","c_ag","c_bg","c_total","anpp","n_ag","n_bg","n_total","annp","year"
38,"ACRU","adult",NA,53.8055745,2,29.0340060911611,26.364731505,5.811002046,106.084498924796,0.227376429604983,209.717655073162,3470.55077357866,2429.38554150506,798.226677923091,242.938554150506,709.838072783272,24.5115962477425,2359.97452603349,3094.3241950645,6564.87496864315,1214.84277075253,416.563604829439,1631.40637558197,22.4506126347228,21.7315459496229,41.0201507787196,62.7516967283425,0.391958382565953,2010
37,"ACRU","adult",NA,49.8055745,2,28.7571560648465,24.404731505,5.379002046,90.8977831563989,0.194825951035143,389.244645137864,2886.53326696052,2020.57328687236,663.902651400919,202.057328687236,591.975357319333,21.6452141973884,1962.84262153315,2576.46319304987,5462.99646001039,1010.43664343618,346.481504035262,1356.91814747144,20.1657952206447,21.1992563466242,36.7602343215061,57.9594906681303,0.352068453829858,2010
36,"ACRU","adult",NA,45.8055745,2,28.400961918068,22.444731505,4.947002046,76.8836605627691,0.164788752465303,540.92615654364,2364.02248334954,1654.81573834468,543.725171170394,165.481573834468,486.230865828078,18.9159427459577,1607.53528867769,2112.68209725172,4476.70458060126,827.557869172339,283.780210001945,1111.33807917428,17.9508548676808,20.7230256610384,32.9489576714873,53.6719833325257,0.313398487341516,2010
54,"BEAL","adult",NA,45.5179156,2,28.3717191575326,24.579674424,4.9614528004,77.3334883993639,0.162725505510268,693.697705873018,2561.78628992873,1793.25040295011,589.210846683607,179.325040295011,527.022213845112,20.5987369174887,1742.01467715154,2289.63562791414,4851.42191784286,896.775201475055,307.511866791447,1204.2870682665,17.3042815004296,20.3404730284523,34.3914782890049,54.7319513174572,0.302110160587965,2010
204,"QURU","adult",NA,67.7757223,2,28.3370833036535,27.9913733099,8.0653109537,204.358216955643,0.360777301804338,1097.36997490775,7438.32726873795,5206.82908811657,1710.81527180973,520.682908811657,1509.21664976467,43.9261415739158,5058.06254274181,6611.2053340804,14049.5326028184,2603.56454405828,892.696784248555,3496.26132830684,52.5877833520394,24.7500864727452,69.9617427665187,94.7118292392638,0.918114032822174,2010
203,"QURU","adult",NA,65.7757223,2,28.1913637530564,27.1653733099,7.8273109537,192.475318628768,0.33979904088657,1477.4257581216,6913.87404878854,4839.71183415198,1590.19103122136,483.971183415198,1404.26782562268,41.7883545660396,4701.43435317621,6147.49053336493,13061.3645821535,2420.00591707599,829.762397854625,3249.76831493061,50.3593972779586,24.2720853973068,66.1362976773154,90.4083830746222,0.879209321599376,2010
202,"QURU","adult",NA,63.7757223,2,28.0328749594342,26.3393733099,7.5893109537,180.948325050433,0.319449099968802,1834.57686501163,6411.90483593727,4488.33338515609,1474.73811226557,448.833338515609,1303.71208036842,39.6934064036964,4360.09528843734,5703.50077520946,12115.4056111467,2244.31669257804,769.526092312473,3013.84278489052,48.1607905917695,23.8145768637469,62.4748545071917,86.2894313709386,0.840824519605832,2010
35,"ACRU","adult",NA,41.8055745,2,27.9426839403188,20.484731505,4.515002046,64.0421311439063,0.137264833895463,1960.75808410801,1901.06512776096,1330.74558943267,437.24497938502,133.074558943267,392.253960935422,16.3283418274337,1292.72428687745,1701.30658964031,3602.37171740127,665.522794716335,228.225327331315,893.74812204765,15.8095021231477,20.3010736061444,29.5720731847876,49.873146790932,0.276013264412128,2010
201,"QURU","adult",NA,61.7757223,2,27.8604979681458,25.5133733099,7.3513109537,169.777236220637,0.299727479051034,2295.71632417131,5932.11550718,4152.480855026,1364.3865666514,415.2480855026,1207.49464641299,37.6417417331737,4033.8385448824,5278.97493302856,11211.0904402086,2076.390427513,711.9513728616,2788.3418003746,45.9924836082564,23.3772836860028,58.9751949346494,82.3524786206522,0.802968710858337,2010
34,"ACRU","adult",NA,40.8055745,4,27.8089031796579,19.994731505,4.407002046,61.014966472748,0.130776554253003,2536.06148694361,3588.78408483563,2512.14885938494,825.420339512195,251.214885938494,741.110836474733,31.4083328999867,2440.37317768823,3212.89234706295,6801.67643189858,1256.22442969247,430.751602180275,1686.97603187275,30.5722977301843,21.8393070382838,41.8825633309237,63.7218703692075,0.533752399750298,2010
53,"BEAL","adult",NA,40.5179156,2,27.7688330147561,21.879674424,4.4164528004,61.276938558229,0.128939234598028,2656.92878516908,1949.33320816702,1364.53324571692,448.346637878415,136.453324571692,402.650934406456,17.1540152572512,1325.54658155358,1745.35153121728,3694.6847393843,682.416622858458,234.017496980043,916.4341198385,14.7845928476282,19.7822664609231,29.9241482300556,49.7064146909787,0.258119686697981,2010
200,"QURU","adult",NA,60.7757223,2,27.7687251437032,25.1003733099,7.2323109537,164.325156086442,0.290102288592151,2981.05752038042,5700.44179691251,3990.30925783875,1311.10161328988,399.030925783876,1160.99540114328,36.6322848192495,3876.30042190051,5073.92810786303,10774.3699047755,1995.30462891938,684.150527629501,2679.45515654888,44.9198622020726,23.1661299006007,57.2853300934615,80.4514599940622,0.784242141641101,2010
199,"QURU","adult",NA,59.7757223,4,27.6730157717927,24.6873733099,7.1133109537,158.962052139382,0.280634178133267,3608.01188584772,10948.3931173001,7663.87518211008,2518.13041697902,766.387518211008,2231.11945266962,71.2676484287857,7444.90731976407,9747.29442086248,20695.6875381626,3832.08759105504,1313.90468607601,5145.99227713105,87.7100456402986,27.9492569357158,95.5647205963762,123.513977532092,1.53130287281273,2010
