"id","species","type","age","dbh","n_trees","height","crown_l","crown_r","crown_a","ba","crown_a_cumsum","biomass_ag","biomass_stem","biomass_branch","biomass_leaf","biomass_root_coarse","biomass_root_fine","biomass_soil","biomass_bg","biomass_total","c_ag","c_bg","c_total","anpp","n_ag","n_bg","n_total","annp","year"
248,"ACRU","sapling",0,1,29,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
6,"ACRU","sapling",NA,10,10,14.7412449011524,4.9,1.08,3.66435367114713,0.007854,24166.4442855489,313.472318147219,219.430622703053,72.0986331738604,21.9430622703053,67.9772573820363,8.16228970568246,213.161176340109,289.300723427828,602.773041575047,156.73615907361,68.1839908648379,224.920149938447,NA,0.389328257105054,2.12074279422519,2.51007105133024,NA,2002
194,"QURU","adult",NA,48.4195247,5,26.2508340355684,19.9972637011,5.7619234393,104.300127521598,0.184133132230539,6207.91240162438,8182.7328711515,5727.91300980605,1882.02856036485,572.791300980605,1679.77650808541,62.7173026392634,5564.25835238302,7306.7521631077,15489.4850342592,2864.10650490303,982.02545653818,3846.13196144121,NA,25.4285581933503,75.3915554701245,100.820113663475,NA,2002
272,"BELE","sapling",0,1,8,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003
258,"BELE","sapling",1,1.14101675,8,2.13451866653845,0.616149045,0.12437082575,0.0485944765435455,0.000102252735835725,25184.425516269,1.7853047282003,1.24971330974021,0.41062008748607,0.124971330974021,0.417489279109478,0.250175265961244,1.21400721517621,1.88167176024693,3.66697648844723,0.774856654870106,0.311748567384036,1.08660522225414,NA,17.9218177875615,15.7184244785325,33.640242266094,NA,2003
273,"FAGR","sapling",0,1,11,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003
259,"FAGR","sapling",1,1.371258286,11,2.70502077400397,0.910515501904,0.208431259472,0.136482062954212,0.000147682632994984,25180.4962727221,2.99843118389316,2.09890182872521,0.689639172295426,0.209890182872521,0.696710351578647,0.364361804930314,2.03893320504735,3.10000536155631,6.09843654544946,1.1994509143626,0.457323742067179,1.65677465642978,NA,18.0083234643472,15.7272732155904,33.7355966799376,NA,2003
257,"TSCA","sapling",2,1.712675796,17,2.51945442445039,1.448923723416,0.1712675796,0.092151029846135,0.000230378113338321,25402.3939796472,5.87013771954159,4.10909640367911,1.35013167549457,0.410909640367911,1.35347483302861,0.600376108244257,3.99169364928828,5.94554459056115,11.8156823101027,2.20454820183956,0.801928526344991,3.00647672818455,1.17820841112474,19.4179408165917,15.7482198991964,35.1661607157881,0.0205699804572745,2004
281,"PRSE","sapling",0,1.14,8,2.78268250939492,0.4218,0.13224,0.0549383426624169,0.000102070584,NA,1.20183799481958,0.841286596373708,0.276422738808504,0.0841286596373708,0.281055675715356,0.168530353553599,0.817249836477316,1.26683586574627,2.46867386056585,0.570643298186854,0.24173255937835,0.812375857565204,NA,17.9422859999484,15.7141685795027,33.6564545794511,NA,2004
301,"FAGR","sapling",0,1,11,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
290,"ACRU","sapling",1,1.188072612,29,3.41612394621658,0.58215557988,0.128311842096,0.0517229578366367,0.000110860508374939,25828.7915142736,5.64823398930247,3.95376379251173,1.29909381753957,0.395376379251173,1.31897201395299,0.767073059410328,3.84079911272568,5.926844186089,11.5750781753915,2.12688189625586,0.775300078716296,2.90218197497216,NA,18.5735385674346,15.7466012981414,34.3201398655759,NA,2006
271,"TSCA","sapling",3,2.069013694,17,2.75670517182023,1.750385585124,0.2069013694,0.134485853307359,0.000336215419484461,25843.4603572109,9.2181142900541,6.45268000303787,2.12016628671244,0.645268000303787,2.11149762261858,0.814274680008064,6.26831771723679,9.19409001986344,18.4122043099175,3.37634000151894,1.20368571480649,4.58002571632543,1.57354898814088,19.4209922544328,15.7726405720863,35.1936328265191,0.0274721107309972,2006
313,"TSCA","sapling",0,1,17,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
300,"BELE","sapling",1,1.14101675,8,2.13451866653845,0.616149045,0.12437082575,0.0485944765435455,0.000102252735835725,25852.5327909199,1.7853047282003,1.24971330974021,0.41062008748607,0.124971330974021,0.417489279109478,0.250175265961244,1.21400721517621,1.88167176024693,3.66697648844723,0.774856654870106,0.311748567384036,1.08660522225414,NA,17.9218177875615,15.7184244785325,33.640242266094,NA,2006
286,"BELE","sapling",2,1.2820335,8,2.22997265222521,0.69229809,0.1397416515,0.0613481704827485,0.000129089121162901,25852.1440351075,2.34713690323057,1.6429958322614,0.539841487743031,0.16429958322614,0.54665368809809,0.300491734877879,1.59605309419679,2.44319851717276,4.79033542040333,0.9714979161307,0.379168428387668,1.35066634451837,0.264061122264226,17.9223298568437,15.7225225716572,33.6448524285009,0.00461016240693368,2006
