"id","species","type","age","dbh","n_trees","height","crown_l","crown_r","crown_a","ba","crown_a_cumsum","biomass_ag","biomass_stem","biomass_branch","biomass_leaf","biomass_root_coarse","biomass_root_fine","biomass_soil","biomass_bg","biomass_total","c_ag","c_bg","c_total","anpp","n_ag","n_bg","n_total","annp","year"
275,"PIGL","sapling",0,1,3,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003
276,"ACRU","sapling",0,1,29,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
277,"BEAL","sapling",0,1,16,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
278,"QURU","sapling",0,1,29,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
279,"FRAM","sapling",0,1,5,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
280,"PIST","sapling",0,1,11,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
281,"PRSE","sapling",0,1,8,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
282,"QUVE","sapling",0,1,9,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
283,"BEPO","sapling",0,1,2,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
284,"PIRE","sapling",0,1,3,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
285,"TSCA","sapling",0,1,17,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
286,"BELE","sapling",0,1,8,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
287,"FAGR","sapling",0,1,11,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
288,"ACPE","sapling",0,1,2,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
289,"PIGL","sapling",0,1,3,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
290,"ACRU","sapling",0,1,29,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
291,"BEAL","sapling",0,1,16,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
292,"QURU","sapling",0,1,29,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
293,"FRAM","sapling",0,1,5,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
294,"PIST","sapling",0,1,11,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
295,"PRSE","sapling",0,1,8,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
296,"QUVE","sapling",0,1,9,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
297,"BEPO","sapling",0,1,2,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
298,"PIRE","sapling",0,1,3,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
299,"TSCA","sapling",0,1,17,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
300,"BELE","sapling",0,1,8,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
301,"FAGR","sapling",0,1,11,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
302,"ACPE","sapling",0,1,2,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
303,"PIGL","sapling",0,1,3,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
304,"ACRU","sapling",0,1,29,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
305,"BEAL","sapling",0,1,16,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
306,"QURU","sapling",0,1,29,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
307,"FRAM","sapling",0,1,5,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
308,"PIST","sapling",0,1,11,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
309,"PRSE","sapling",0,1,8,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
310,"QUVE","sapling",0,1,9,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
311,"BEPO","sapling",0,1,2,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
312,"PIRE","sapling",0,1,3,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
