"year","nee","r_soil"
2002,5832.20768085198,5832.20768085198
2003,3970.69937590769,5737.23868259128
2004,3974.80542373886,5734.28903567832
2005,4390.54476622087,6174.3570844301
2006,4025.60669355276,5818.54431366064
2007,3752.33379890396,5555.78571395824
2008,4195.63776549566,5964.45149112916
2009,3890.33271324689,5687.82355188733
2010,4089.92617175395,5901.03006635983
2011,4705.14590077929,6523.15233548362
2012,3666.80638363705,5518.83763690373
