# ppt,,,
 ,eco311,eco311,eco311
TIMESTEP,MEAN(mm/month),VARIANCE(mm/month^2),STD_DEV(mm/month)
2004-07T00:00:00Z,126.4,0,0
2004-08T00:00:00Z,87,0,0
2004-09T00:00:00Z,213.5,0,0
2004-10T00:00:00Z,61.8,0,0
2004-11T00:00:00Z,88.5,0,0
2004-12T00:00:00Z,98.8,0,0
2005-01T00:00:00Z,111.4,0,0
2005-02T00:00:00Z,64.7,0,0
2005-03T00:00:00Z,119.9,0,0
2005-04T00:00:00Z,144.1,0,0
2005-05T00:00:00Z,91,0,0
2005-06T00:00:00Z,140.2,0,0
2005-07T00:00:00Z,123.3,0,0
2005-08T00:00:00Z,86.9,0,0
2005-09T00:00:00Z,61.5,0,0
2005-10T00:00:00Z,297.3,0,0
2005-11T00:00:00Z,108.1,0,0
2005-12T00:00:00Z,77.4,0,0
2006-01T00:00:00Z,104.3,0,0
2006-02T00:00:00Z,50.7,0,0
2006-03T00:00:00Z,12.7,0,0
2006-04T00:00:00Z,41.6,0,0
2006-05T00:00:00Z,114.7,0,0
2006-06T00:00:00Z,141.2,0,0
2006-07T00:00:00Z,91.5,0,0
2006-08T00:00:00Z,129.3,0,0
2006-09T00:00:00Z,74.9,0,0
2006-10T00:00:00Z,168.5,0,0
2006-11T00:00:00Z,117.1,0,0
2006-12T00:00:00Z,48.8,0,0
2007-01T00:00:00Z,78.6,0,0
2007-02T00:00:00Z,46.8,0,0
2007-03T00:00:00Z,108.2,0,0
2007-04T00:00:00Z,160.3,0,0
2007-05T00:00:00Z,102.3,0,0
2007-06T00:00:00Z,64.5,0,0
2007-07T00:00:00Z,167.4,0,0
2007-08T00:00:00Z,29.5,0,0
2007-09T00:00:00Z,75.6,0,0
2007-10T00:00:00Z,117.5,0,0
2007-11T00:00:00Z,91,0,0
2007-12T00:00:00Z,97,0,0
2008-01T00:00:00Z,72.5,0,0
2008-02T00:00:00Z,267.4,0,0
2008-03T00:00:00Z,139.2,0,0
2008-04T00:00:00Z,111.2,0,0
2008-05T00:00:00Z,57.1,0,0
2008-06T00:00:00Z,105.9,0,0
2008-07T00:00:00Z,225.3,0,0
2008-08T00:00:00Z,47.1,0,0
2008-09T00:00:00Z,197.6,0,0
2008-10T00:00:00Z,62.6,0,0
2008-11T00:00:00Z,91.1,0,0
2008-12T00:00:00Z,188.2,0,0
2009-01T00:00:00Z,78.5,0,0
2009-02T00:00:00Z,36.4,0,0
2009-03T00:00:00Z,75.3,0,0
2009-04T00:00:00Z,83.2,0,0
2009-05T00:00:00Z,129.8,0,0
2009-06T00:00:00Z,182,0,0
2009-07T00:00:00Z,253.6,0,0
2009-08T00:00:00Z,84.3,0,0
2009-09T00:00:00Z,33.7,0,0
2009-10T00:00:00Z,168.9,0,0
2009-11T00:00:00Z,61.4,0,0
2009-12T00:00:00Z,90.4,0,0
2010-01T00:00:00Z,68.1,0,0
2010-02T00:00:00Z,86.6,0,0
2010-03T00:00:00Z,189,0,0
2010-04T00:00:00Z,30.3,0,0
2010-05T00:00:00Z,58.5,0,0
2010-06T00:00:00Z,104.7,0,0
2010-07T00:00:00Z,78.5,0,0
2010-08T00:00:00Z,82.3,0,0
2010-09T00:00:00Z,76.2,0,0
2010-10T00:00:00Z,153.8,0,0
2010-11T00:00:00Z,103.4,0,0
2010-12T00:00:00Z,76.4,0,0
2011-01T00:00:00Z,61.9,0,0
2011-02T00:00:00Z,103.7,0,0
2011-03T00:00:00Z,144.7,0,0
2011-04T00:00:00Z,136.3,0,0
2011-05T00:00:00Z,92.6,0,0
2011-06T00:00:00Z,134.4,0,0
2011-07T00:00:00Z,57.8,0,0
2011-08T00:00:00Z,271.1,0,0
2011-09T00:00:00Z,214.1,0,0
2011-10T00:00:00Z,177.1,0,0
2011-11T00:00:00Z,100.9,0,0
2011-12T00:00:00Z,124.7,0,0
2012-01T00:00:00Z,58.6,0,0
2012-02T00:00:00Z,27,0,0
2012-03T00:00:00Z,23.7,0,0
2012-04T00:00:00Z,56,0,0
2012-05T00:00:00Z,93.6,0,0
2012-06T00:00:00Z,83.7,0,0
2012-07T00:00:00Z,39.4,0,0
2012-08T00:00:00Z,139.4,0,0
2012-09T00:00:00Z,140.1,0,0
2012-10T00:00:00Z,115.9,0,0
2012-11T00:00:00Z,13.8,0,0
2012-12T00:00:00Z,91.8,0,0
2013-01T00:00:00Z,59.3,0,0
2013-02T00:00:00Z,62.6,0,0
2013-03T00:00:00Z,73.6,0,0
2013-04T00:00:00Z,52.4,0,0
2013-05T00:00:00Z,141.6,0,0
2013-06T00:00:00Z,244.3,0,0
2013-07T00:00:00Z,54,0,0
2013-08T00:00:00Z,137,0,0
2013-09T00:00:00Z,90.1,0,0
2013-10T00:00:00Z,62.7,0,0
2013-11T00:00:00Z,83.2,0,0
2013-12T00:00:00Z,86.5,0,0
# maxtemp,,,
 ,eco311,eco311,eco311
TIMESTEP,MEAN(mm/month),VARIANCE(mm/month^2),STD_DEV(mm/month)
1992-01T00:00:00Z,0.35483871,0,0
1992-02T00:00:00Z,1.206896552,0,0
1992-03T00:00:00Z,3.933333333,0,0
1992-04T00:00:00Z,10.2,0,0
1992-05T00:00:00Z,19.92592593,0,0
1992-06T00:00:00Z,23.5,0,0
