"year","nee","r_soil"
2002,-5832.20768085198,5832.20768085198
2003,-3968.16434587785,5737.23868259128
2004,-3971.23102395169,5734.28903567832
2005,-4387.09774848685,6174.3570844301
2006,-4013.83844608946,5818.54431366064
2007,-3751.8358843026,5555.78571395824
2008,-4189.45078994133,5964.45149112916
2009,-3879.56081102457,5687.82355188733
2010,-4069.90936362696,5901.03006635983
2011,-4680.55353140894,6523.15233548362
2012,-3671.98055836999,5518.83763690373
