"id","species","type","age","dbh","n_trees","height","crown_l","crown_r","crown_a","ba","crown_a_cumsum","biomass_ag","biomass_stem","biomass_branch","biomass_leaf","biomass_root_coarse","biomass_root_fine","biomass_soil","biomass_bg","biomass_total","c_ag","c_bg","c_total","anpp","n_ag","n_bg","n_total","annp","year"
201,"QURU","adult",NA,58.8390494,2,27.579647070042,24.3005274022,7.0018468786,154.019280705134,0.27190812949158,2091.9516563227,5267.16734702921,3687.01714292045,1211.44848981672,368.701714292045,1073.95969260356,34.7086213271574,3581.67379597987,4690.34210991059,9957.5094569398,1843.65857146022,632.157593643506,2475.81616510373,42.864739618999,22.771231661585,54.1249574357377,76.8961890973227,0.748362384739025,2003
34,"ACRU","adult",NA,38.623461,4,27.4859992709583,18.92549589,4.171333788,54.6637925058468,0.117163752429639,2307.09153188181,3147.86892204717,2203.50824543302,724.009852070848,220.350824543302,651.301585828976,28.7488349589465,2140.55086699207,2820.60128778,5968.47020982716,1101.90412271651,377.84178264566,1479.74590536217,28.3227507150718,21.4374448435769,38.6664580996371,60.1039029432141,0.494478246127173,2003
53,"BEAL","adult",NA,38.5595368,2,27.4758544112748,20.822149872,4.2029895112,55.4966138282537,0.116776246956228,2416.47998157298,1735.27450866648,1214.69215606654,399.113136993291,121.469215606654,359.053106294292,15.8682692337309,1179.98666589321,1554.90804142123,3290.18255008771,607.496078033269,208.330453039978,815.826531073246,13.8262303905585,19.5871674803542,28.362770075328,47.9499375556822,0.241387929542995,2003
200,"QURU","adult",NA,57.8390494,2,27.4758272927186,23.8875274022,6.8828468786,148.828494528443,0.262744231611828,2709.83463220659,5051.32241803025,3535.92569262117,1161.80415614696,353.592569262117,1030.56342614945,33.7316321482881,3434.89924426057,4499.1943025583,9550.51672058855,1768.11284631059,606.25620216363,2374.36904847422,41.8151801155259,22.5745046623697,52.5505502393282,75.1250549016979,0.730038446230921,2003
33,"ACRU","adult",NA,37.623461,2,27.3225217497235,18.43549589,4.063333788,51.8698356204031,0.111175319175759,2811.86234784734,1478.47296460259,1034.93107522181,340.048781858596,103.493107522181,306.178636324601,13.7800252861906,1005.36161592976,1325.32027754055,2803.79324214315,517.615537610907,177.514267752311,695.129805363218,13.6539989234113,19.9159114967746,26.4896188231843,46.4055303199589,0.238380993011305,2003
198,"QURU","adult",NA,55.8390494,2,27.2546368305971,23.0615274022,6.6448468786,138.713850736467,0.244887675852324,3085.13702172986,4635.52543757525,3244.86780630267,1066.17085064231,324.486780630267,946.890689188889,31.8112589372086,3152.15729755117,4130.85924567727,8766.38468325251,1622.58390315134,556.36056450903,2178.94446766037,39.7401436496912,22.1955358692319,49.5176610196937,71.7131968889256,0.693811018937652,2003
32,"ACRU","adult",NA,36.623461,2,27.1484138019974,17.94549589,3.955333788,49.1491658083823,0.105343965921879,3181.76908937865,1386.46232648854,970.52362854198,318.886335092365,97.052362854198,287.393035847841,13.1951910407099,942.794382012209,1243.38260890076,2629.8449353893,485.41181427099,166.472991178625,651.884805449615,13.1518125584927,19.8320504729553,25.8184786140312,45.6505290869866,0.229613474790639,2003
197,"QURU","adult",NA,54.8390494,2,27.136875908464,22.6485274022,6.5258468786,133.789993121181,0.236195017972572,3445.27070344703,4435.49159515145,3104.84411660602,1020.16306688483,310.484411660602,906.599422437739,30.8680072301883,3016.13428470299,3953.60171437092,8389.09330952237,1552.57205830301,532.356503418174,2084.92856172118,38.7148262527744,22.0132195287738,48.0585824001586,70.0718019289323,0.675910315956799,2003
85,"FRAM","adult",NA,40.2971664,2,27.0002992678792,12.8547960816,3.828230808,46.0411434122357,0.127538091624534,3536.67519288617,1900.5126923221,1330.35888462547,437.117919234082,133.035888462547,392.641206344878,16.7953882032386,1292.34863077903,1701.78522532714,3602.29791764924,665.329442312734,228.159035078652,893.488477391386,7.72843046882963,19.7020701013058,29.568043632949,49.2701137342548,0.134928304880674,2003
31,"ACRU","adult",NA,35.623461,2,26.9629841647457,17.45549589,3.847333788,46.5017830697845,0.0996696926679987,3628.05818668985,1297.86692027647,908.506844193528,298.509391663588,90.8506844193528,269.287540096585,12.6200157428444,882.549505787999,1164.45706162743,2462.3239819039,454.403422096764,155.841542433176,610.24496452994,12.6549033229162,19.7513021853343,25.1722496488384,44.9235518341727,0.220938088357869,2003
159,"PRSE","adult",NA,49.2393786,2,26.8751652363427,18.218570082,5.7117679176,102.492238414761,0.190421518441956,3832.04733699356,2657.75760848701,1860.43032594091,611.284249952012,186.043032594091,545.274299319713,20.1071518049547,1807.27517377117,2372.65662489583,5030.41423338284,930.365162970453,319.028425018441,1249.39358798889,7.31511109303869,20.3635439252589,35.0915083304232,55.4550522556821,0.127712288255474,2003
143,"PIST","adult",NA,66.5541272,2,26.882895944077,27.4868545336,5.7902090664,105.326672176505,0.347889148091166,4040.95044010731,4530.18436319384,3171.12905423569,1041.94240353458,317.112905423569,919.743562779145,27.1323985443369,3080.52536697181,4027.40132829529,8557.58569148913,1585.71452711784,543.71963558326,2129.4341627011,21.7720465835359,23.2251251195086,48.749286491032,71.9744116105406,0.380111505324109,2003
196,"QURU","adult",NA,52.8390494,2,26.8859835114853,21.8225274022,6.2878468786,124.209206452015,0.219280942213068,4285.43979167021,4050.94564331714,2835.661950322,931.717497962942,283.5661950322,829.06950865979,29.0157164756701,2754.64303745566,3612.72826259112,7663.67390590826,1417.980975161,486.210989198057,1904.19196435906,36.6890091423857,21.6627337818277,45.2536431471219,66.9163769289496,0.640542194343311,2003
84,"FRAM","adult",NA,39.2971664,2,26.8275234855308,12.5357960816,3.733230808,43.7844153472292,0.121286752726422,4372.34767602215,1791.42401275995,1253.99680893197,412.027522934789,125.399680893197,370.42717343594,16.1428109373161,1218.16832867677,1604.73831305002,3396.16232580998,627.148404465983,215.068393531194,842.216797997178,7.46972466260183,19.6026436812451,28.7723334768384,48.3749771580835,0.13041163929924,2003
30,"ACRU","adult",NA,34.623461,2,26.7654966242837,16.96549589,3.739333788,43.9276874046096,0.0941524994141187,4458.62817012757,1212.65051622993,848.855361360952,278.909618732884,84.8855361360952,251.855582196464,12.0546043018336,824.602351036353,1088.51253753465,2301.16305376458,424.577680680476,145.615573947592,570.193254628068,12.1633622208013,19.6736336131341,24.5506676621536,44.2243012752878,0.212356422526099,2003
