"year","nee","r_soil"
2009,-23009.1091642732,23009.1091642732
2010,-14371.8142727242,15683.4666800281
2011,-12138.2410311268,13468.2913069743
2012,-17170.3897453404,18518.938412847
2013,-23062.9505097671,24430.1931922575
